Crop Type,Season,Rainfall (mm),Temperature (°C),Humidity (%),Soil Fertility Index,Fertilizer Usage,Market Demand Index,Transportation Cost,Crop Price
14,0,1052.2,18.8,35.29,0.87,230.2,1.42,633.05,9763.02
43,0,909.93,38.95,63.43,0.48,84.06,1.08,453.19,7238.06
19,1,1015.59,20.11,82.07,0.36,201.1,1.18,1623.8,18080.18
63,0,785.72,31.4,64.52,0.59,294.58,1.42,1855.25,8803.98
5,1,695.7,23.67,74.36,0.8,65.27,0.93,746.88,5666.07
80,1,722.31,38.56,63.01,0.66,207.42,0.93,1405.66,11972.77
51,0,940.89,39.33,54.87,0.65,55.02,1.2,1364.11,4891.72
59,2,1102.92,26.33,36.77,0.55,178.73,0.75,469.92,5461.7
11,0,1101.88,22.36,68.0,0.97,222.97,1.38,793.13,19105.51
25,1,845.57,35.51,74.25,0.77,266.08,1.23,771.09,26292.8
38,2,861.78,28.72,76.63,0.91,184.22,0.73,1953.18,11215.85
33,2,856.96,38.73,77.07,0.7,115.93,1.1,470.24,11332.91
1,2,932.08,32.2,63.99,0.55,212.18,0.74,646.58,8349.89
10,0,706.93,33.71,83.27,0.57,225.96,0.67,1532.82,20954.01
84,1,591.28,36.25,86.88,0.81,253.71,0.95,1067.3,13714.35
16,1,596.0,18.43,55.53,0.58,120.09,1.46,446.01,6063.57
16,1,708.33,18.84,69.98,0.3,167.74,1.13,994.49,5109.53
35,0,962.61,25.1,75.93,0.32,256.05,1.01,1526.43,12264.78
46,1,987.52,35.44,78.44,0.87,294.02,1.27,822.72,8816.35
69,1,1108.96,23.33,67.13,0.83,110.64,0.98,665.41,4438.99
87,2,620.48,31.61,64.41,0.4,53.7,1.41,783.9,12449.88
14,1,775.44,23.36,47.07,0.52,192.82,0.89,945.19,8968.38
2,2,927.26,21.0,31.26,0.34,106.79,1.05,426.15,8783.8
16,2,1095.8,30.24,67.86,0.61,205.34,1.35,1605.18,6185.71
29,0,960.6,29.74,48.89,0.88,53.72,0.75,1886.11,8268.7
17,1,1083.56,20.57,76.36,0.79,93.92,1.14,1749.58,28590.69
60,1,987.11,27.9,47.45,0.87,111.15,1.39,1240.13,5449.65
53,2,1021.35,34.95,50.67,0.54,295.76,0.59,1063.22,8703.14
5,0,1100.43,25.49,89.26,0.53,200.84,0.86,1662.29,5581.46
57,0,1107.59,35.53,88.03,1.0,112.52,0.79,758.17,9046.97
69,2,572.2,32.5,61.91,0.88,244.56,0.52,396.96,3936.77
5,0,1127.24,32.49,66.7,0.74,279.0,1.45,939.04,7116.72
72,0,714.97,39.0,47.31,0.55,244.24,0.75,209.09,5690.06
5,0,921.08,27.78,49.57,0.99,211.32,1.34,1850.94,6413.29
40,1,1111.31,20.6,86.63,0.92,116.39,0.71,687.53,9674.25
19,1,859.48,24.1,41.88,0.37,172.71,1.39,1752.83,18080.31
6,0,770.24,22.39,46.55,0.43,143.25,1.47,1886.47,6076.56
48,0,734.84,33.08,53.23,0.82,73.58,1.32,210.26,9639.79
23,2,620.56,34.64,63.86,0.57,140.45,1.16,1371.62,16955.51
20,2,628.95,19.09,30.39,0.69,163.78,1.25,1834.14,8464.24
36,1,904.11,36.22,87.19,0.42,220.15,0.85,1440.95,8812.0
70,0,1145.25,38.65,67.29,0.8,67.38,1.38,306.06,5528.53
40,1,837.57,34.91,41.42,0.52,190.74,0.64,290.05,8894.36
66,0,708.67,30.49,87.74,0.69,196.52,0.9,291.1,23189.85
55,1,630.63,19.61,62.19,0.49,103.03,1.39,1320.43,10551.91
88,0,944.24,22.99,42.44,0.51,208.61,0.95,1176.08,9952.71
50,1,600.36,37.76,52.84,0.7,186.08,0.88,924.75,10509.39
51,0,569.2,16.43,46.02,0.46,157.32,1.05,962.64,4384.22
82,1,922.08,17.13,52.88,0.32,243.19,0.51,932.6,7363.83
32,0,781.51,34.14,60.61,0.86,113.62,1.08,1580.55,8321.72
62,0,1141.13,19.52,51.71,0.72,193.9,0.63,238.02,6254.52
44,0,881.68,26.82,38.78,0.48,219.89,0.91,301.32,5945.04
81,2,537.88,26.77,84.89,0.55,299.48,1.16,1901.3,3629.72
8,2,869.17,29.02,66.33,0.55,241.5,1.49,1183.76,5532.49
37,2,1107.03,39.96,30.59,0.94,219.84,1.42,1695.97,11918.04
61,0,842.54,27.86,63.87,0.39,145.89,0.71,277.75,8447.23
30,0,716.31,23.79,78.77,0.31,94.76,0.89,1243.13,3334.35
16,1,1169.59,25.39,64.71,0.48,156.21,1.08,1991.53,5100.97
69,2,848.52,21.02,49.7,0.47,130.24,0.76,358.01,4032.33
63,2,890.1,37.35,45.01,0.88,292.53,1.31,1793.27,8834.65
19,1,773.01,36.54,44.54,0.43,86.95,1.14,486.04,18146.92
83,2,823.69,30.83,82.48,0.33,73.53,0.64,812.33,22298.07
17,0,1032.12,28.56,45.27,0.75,54.67,0.63,1036.33,27509.68
47,1,954.68,35.28,88.05,0.98,207.97,0.61,616.07,10161.48
49,0,550.58,16.34,37.35,0.7,130.69,0.67,1677.14,3431.69
36,0,691.64,35.87,68.47,0.67,229.44,0.99,1258.61,9460.99
87,2,1053.7,29.82,82.24,0.49,108.72,1.43,547.61,13007.03
55,0,969.09,22.03,78.08,0.85,210.1,0.83,601.53,10960.21
74,2,563.61,23.49,55.91,0.57,110.95,0.9,1862.89,16236.6
6,1,612.84,33.68,46.26,0.55,294.37,1.04,1434.79,5827.2
20,1,1150.08,37.27,48.13,0.61,204.84,0.85,433.19,8314.19
16,0,550.21,28.64,46.09,0.78,188.83,0.81,1240.77,4689.16
24,1,935.78,24.38,41.51,0.95,198.83,0.81,1929.2,12315.25
21,2,889.73,22.16,47.17,0.74,237.45,0.71,1711.53,4412.12
36,2,568.46,21.82,52.3,0.68,116.51,1.05,517.86,9147.31
72,0,903.79,17.51,81.8,0.56,198.47,1.35,585.14,6539.11
22,1,747.72,27.71,70.07,0.63,107.47,1.02,1268.46,8363.76
38,2,949.92,22.9,32.64,0.59,100.7,1.11,497.47,11802.24
52,2,705.27,30.8,86.37,0.58,214.29,0.53,1862.26,9469.83
41,1,607.22,35.46,87.25,0.51,74.14,1.14,1191.38,6996.22
88,0,1160.46,36.66,55.85,0.91,292.28,0.91,1261.89,10708.86
80,0,798.65,16.85,40.23,0.66,88.42,0.9,1683.59,11791.13
87,0,536.21,32.31,69.85,0.65,68.04,0.76,340.84,11997.58
85,0,1122.8,32.8,40.37,0.9,109.46,0.88,246.23,4565.25
17,0,1168.88,34.12,64.4,0.43,157.27,1.15,572.23,28390.62
71,0,1075.85,17.84,64.08,0.99,64.41,0.99,1140.62,15020.65
1,0,820.4,36.25,51.96,0.97,242.56,0.95,1762.38,8509.26
23,2,649.53,39.48,32.8,0.32,178.45,1.03,1594.27,16642.59
7,2,1017.0,33.04,63.35,0.43,234.0,0.52,216.44,4447.92
54,1,1009.34,22.66,77.7,0.32,161.96,1.27,778.86,5622.52
67,2,879.88,23.34,32.44,0.3,82.24,1.3,1938.99,7140.39
46,2,627.8,33.8,52.61,0.62,62.22,0.93,1266.24,7012.63
69,0,634.24,30.77,48.74,0.7,240.49,1.2,1995.64,4397.09
11,0,1094.02,25.02,56.76,0.75,287.95,0.52,306.58,17890.3
50,2,698.88,37.7,69.96,0.53,176.42,1.14,225.66,11004.15
5,1,1096.36,37.58,45.39,0.85,278.52,0.78,215.02,6158.86
90,2,1136.32,30.42,70.55,0.68,100.16,1.02,1293.08,5434.78
66,2,763.64,24.78,50.0,0.54,116.43,1.47,1077.41,23417.63
35,0,1113.61,35.61,50.37,0.62,148.25,0.64,1594.73,11765.59
74,0,852.18,23.99,80.39,0.96,277.03,1.03,969.9,17633.43
74,2,885.5,15.88,30.25,0.96,122.47,1.4,1661.7,17578.49
76,2,656.32,24.66,38.59,0.58,245.53,1.14,1214.67,11543.79
41,2,603.02,18.0,82.89,0.51,217.8,0.57,877.46,6577.13
18,2,852.76,16.36,54.98,0.46,88.58,1.29,376.89,4937.79
69,2,782.89,16.79,54.18,0.68,125.08,1.49,1405.97,4914.97
59,1,629.97,36.63,82.69,0.82,150.19,1.47,1851.31,6208.9
4,0,1073.86,23.12,40.47,0.75,104.51,1.4,610.07,5088.08
63,0,758.82,30.66,70.07,0.61,128.04,0.72,299.93,7973.35
9,0,629.26,24.69,62.71,0.3,293.36,0.74,1265.51,4147.77
89,1,973.15,18.99,35.15,0.67,149.4,1.16,1776.53,20192.35
88,1,891.19,34.67,88.41,0.33,188.93,0.9,1387.39,10032.69
40,2,789.89,36.27,75.43,0.56,233.78,1.31,462.59,10081.13
46,0,671.17,25.45,67.66,0.64,291.34,0.74,1761.09,6840.69
11,0,1047.62,31.76,49.47,0.86,79.88,0.96,879.26,17947.49
71,0,1033.04,28.5,43.18,0.92,60.88,1.32,1006.55,15536.19
60,1,703.52,19.09,72.03,0.8,167.61,0.78,1710.16,4317.87
53,2,678.92,32.92,73.91,0.57,220.84,1.3,418.83,10274.56
32,0,575.8,17.39,62.71,0.6,171.18,1.21,1961.83,8251.65
28,1,955.32,18.2,53.11,0.75,285.26,1.26,1476.23,10730.83
37,2,928.39,31.22,37.53,0.88,164.77,1.21,201.57,11656.11
88,1,834.96,16.52,39.21,0.89,162.07,1.48,301.17,11068.3
45,0,1054.37,39.54,32.08,0.8,212.48,1.48,438.33,7284.28
64,0,956.5,25.81,86.22,0.31,162.6,1.18,1934.29,7289.19
64,1,1069.49,39.43,76.95,0.81,211.48,0.99,1158.29,7625.46
23,1,705.88,26.04,69.45,0.55,265.08,0.5,1004.83,16504.68
2,1,654.42,17.72,44.68,0.68,173.95,0.87,851.34,9072.88
16,0,657.79,24.71,51.08,0.87,94.66,0.73,349.58,5054.17
13,0,1123.83,28.98,41.76,0.79,234.93,1.22,1099.83,5550.27
75,2,1086.74,25.59,57.37,0.91,65.86,0.79,1832.28,252518.95
33,0,567.76,20.99,63.56,0.32,167.04,1.45,866.42,11429.77
18,2,1005.18,36.43,61.52,0.84,83.62,0.65,1908.21,4109.39
31,2,767.74,25.25,32.85,0.56,108.96,0.73,541.28,17577.28
72,2,874.08,25.41,32.92,0.58,101.77,1.01,1913.25,5630.17
83,2,1122.17,17.99,75.34,0.41,279.21,1.3,1150.41,23763.96
60,0,1116.95,16.05,71.9,0.9,169.06,0.73,1839.0,4634.76
38,1,1023.11,28.09,63.87,0.33,279.63,1.36,657.22,12314.4
44,0,690.23,21.06,50.75,0.76,103.98,0.75,1958.22,5389.59
53,0,1119.77,29.37,66.01,0.52,275.1,0.96,350.83,9740.87
88,0,738.01,29.93,34.57,0.57,69.08,1.32,1487.25,10189.99
78,1,1010.71,32.39,76.52,0.61,141.41,0.6,1729.26,7280.06
44,1,1149.18,29.1,68.89,0.91,116.61,0.71,1403.41,5865.53
76,1,770.64,30.95,76.01,0.8,52.39,0.97,699.28,11309.05
70,0,961.03,17.91,52.97,0.61,183.06,1.15,585.7,5094.54
86,0,707.09,25.47,68.93,0.44,72.35,0.75,1054.82,9449.28
71,2,589.24,23.43,39.55,0.89,222.21,1.14,1217.8,15138.95
30,2,1140.98,28.08,67.9,0.64,247.94,1.31,1044.62,5215.18
81,0,1069.58,31.68,81.7,0.4,72.01,1.24,1058.4,3869.43
56,2,553.67,25.94,54.53,0.81,270.49,1.44,237.38,6467.77
66,1,552.2,16.53,43.09,0.67,247.12,1.05,1349.32,22925.25
30,0,1010.31,33.63,44.57,0.33,285.09,0.92,1793.26,3928.55
35,2,1052.19,39.14,57.03,0.78,200.55,0.73,787.26,12339.14
81,0,991.92,35.06,81.15,0.35,176.56,1.09,385.64,3648.05
4,1,540.53,35.21,41.01,0.51,111.45,0.68,1611.25,3488.63
21,2,1100.92,30.52,39.43,0.94,145.54,1.37,1839.16,5385.03
48,1,1130.37,27.83,46.03,0.44,239.04,1.07,426.56,9397.44
81,1,695.51,33.26,52.25,0.48,94.76,0.81,1489.51,3023.34
85,2,895.91,23.61,65.15,0.81,72.6,1.18,217.81,4686.25
49,2,1136.89,22.98,40.56,0.79,222.39,1.48,950.99,4911.4
23,0,899.21,39.54,81.09,0.34,297.76,1.12,1665.68,17215.62
56,0,996.84,39.73,38.74,0.65,101.8,0.83,1533.02,5075.87
90,2,1171.41,23.84,47.15,0.68,57.43,1.43,219.08,5846.45
0,2,591.64,30.26,45.2,0.7,72.65,1.27,1777.64,21251.18
86,2,1059.66,16.9,62.8,0.61,267.95,0.96,1087.92,10303.63
38,1,815.91,16.5,61.42,0.72,157.64,0.56,1412.31,11053.31
15,2,565.85,24.86,69.25,0.62,74.77,0.55,1214.6,3682.88
43,2,761.94,37.13,82.56,0.84,108.1,1.03,1965.67,6968.1
9,0,1030.47,25.8,89.58,0.69,198.89,0.93,1597.67,5503.03
8,2,932.67,39.31,83.87,0.84,273.56,1.17,969.69,5369.47
50,2,833.51,26.78,77.06,0.8,214.8,0.81,1026.79,10594.58
43,2,1162.31,39.93,54.92,0.86,61.44,0.56,1532.65,6560.18
6,0,565.89,26.99,56.47,0.58,264.29,1.34,1392.47,6670.07
55,2,772.26,26.01,47.65,0.97,270.18,0.92,1174.27,10854.0
83,1,1096.7,27.63,85.84,0.76,63.54,1.35,1156.53,24041.72
55,0,658.33,33.18,64.28,0.42,112.28,1.48,1135.44,11171.58
63,2,1070.07,36.49,63.31,0.6,62.27,0.51,1224.47,7123.09
18,0,630.87,23.09,43.9,0.35,106.55,1.47,914.17,4607.81
81,1,987.84,15.86,43.08,0.64,126.43,1.23,1898.37,3482.03
61,2,1140.02,23.99,56.97,0.65,173.53,0.59,345.55,8157.98
58,1,895.18,33.04,75.8,0.97,170.67,1.44,1456.87,6431.52
54,0,572.86,15.97,62.25,0.46,82.03,1.45,1044.84,5556.55
41,1,1009.71,36.87,47.38,0.4,250.9,0.65,1630.96,6369.8
88,0,856.19,21.37,63.16,0.51,250.43,1.25,570.85,10767.13
8,0,947.6,19.6,87.26,0.87,57.87,0.79,502.77,4698.22
17,1,567.31,33.81,81.0,0.46,158.24,1.37,1195.3,28549.6
9,1,661.84,16.74,89.76,0.52,54.21,0.62,1813.36,3857.22
43,0,603.24,18.63,84.03,0.69,162.61,0.71,544.34,6468.2
79,2,872.16,37.63,73.42,0.81,158.48,0.7,1051.99,4047.88
1,2,604.5,32.73,45.32,0.91,150.16,1.23,1041.03,8712.96
12,1,876.3,34.83,60.42,0.91,164.96,0.97,346.97,5167.77
65,0,773.78,29.51,31.36,0.89,110.36,1.16,535.11,7829.59
18,0,1103.13,31.14,40.82,0.68,182.2,0.67,559.61,4349.65
22,1,1096.53,22.36,87.56,0.73,85.22,0.88,776.39,8360.33
70,0,1034.57,32.46,47.31,0.82,129.55,1.12,805.1,5172.99
19,1,1154.21,24.96,52.16,0.45,69.07,0.99,1570.8,18029.71
6,1,981.73,30.94,44.85,0.5,127.58,0.73,543.83,5585.62
34,2,1110.85,30.95,43.41,0.81,145.58,1.28,1544.65,8111.37
10,1,1151.0,26.99,33.4,0.95,86.11,1.07,366.1,21631.57
32,1,1005.35,24.21,82.13,0.89,252.25,0.9,910.02,9038.04
29,1,550.15,34.93,60.44,0.8,115.75,1.34,1426.42,9113.47
56,1,946.29,28.03,69.95,0.76,123.84,1.25,1417.54,5861.78
69,1,957.8,25.7,51.45,0.76,238.59,1.2,839.5,5007.87
83,1,848.16,37.28,40.41,0.83,160.55,0.65,1377.68,22687.95
51,0,899.06,16.54,65.86,0.9,65.56,1.01,1683.54,4813.24
8,2,976.54,15.42,88.15,0.54,64.12,0.6,1768.44,3739.28
57,0,1048.65,21.39,80.24,0.36,229.03,1.23,1580.77,8775.21
10,1,915.0,28.65,87.46,0.88,58.29,0.91,1187.43,21467.85
6,0,1078.93,34.62,84.92,0.54,262.25,0.6,1962.77,5592.91
51,2,717.76,33.76,40.07,0.85,162.21,0.52,948.75,4634.68
51,0,549.45,33.99,51.11,0.51,220.37,1.43,694.99,5436.84
10,1,707.69,35.56,55.57,0.32,219.5,1.45,1687.01,21470.69
9,1,1144.01,16.71,30.29,0.63,179.37,0.93,1737.33,4724.0
64,0,913.93,31.64,67.54,0.47,132.84,1.21,1814.12,7229.16
8,1,703.14,20.1,49.98,0.99,286.15,1.16,969.96,4800.97
16,1,635.22,30.79,73.47,0.44,205.39,1.43,1867.93,5698.08
11,0,873.36,15.76,67.25,0.52,170.6,0.6,484.42,17720.29
10,0,792.4,26.27,58.9,0.54,55.25,0.61,1022.7,20190.88
24,1,837.3,25.84,58.71,0.33,100.07,0.61,1371.6,11951.28
62,1,633.72,37.74,44.46,0.4,274.75,0.74,503.08,6467.12
75,1,711.14,15.94,59.2,0.7,225.11,0.83,501.55,253220.71
78,0,1173.62,32.69,31.12,0.48,134.61,0.67,969.58,6879.48
37,0,977.62,28.5,54.68,0.76,149.43,0.65,492.41,10721.27
14,2,540.84,34.46,43.86,0.8,139.66,1.44,1022.35,9837.01
12,0,963.05,17.15,33.18,0.73,106.03,0.7,918.66,3647.53
38,2,598.8,28.79,84.84,0.54,207.82,1.13,1935.12,11157.27
36,2,1117.62,31.15,72.46,0.51,115.2,1.2,385.35,9852.31
70,1,982.53,39.91,42.07,1.0,109.86,0.97,995.36,5011.09
91,0,674.2,34.8,65.46,0.37,119.87,1.24,1788.64,5198.65
84,1,920.8,34.98,84.73,0.84,244.12,1.36,1607.27,14056.97
17,1,577.22,24.85,74.62,0.4,50.1,0.88,1869.9,26971.26
87,0,771.21,23.81,62.64,0.35,192.51,0.92,1356.96,11418.96
82,2,1169.76,27.16,69.58,0.45,207.1,1.33,590.13,8777.76
90,0,1033.61,29.5,88.67,0.75,281.68,1.48,1711.13,6327.64
6,0,1070.77,21.49,69.5,0.86,127.2,0.78,296.97,5994.44
37,0,1164.96,19.68,54.76,0.8,50.49,1.43,489.55,11699.26
90,2,912.09,22.32,32.46,0.73,211.93,0.67,1180.87,4738.75
45,2,905.99,27.68,32.72,0.48,71.5,0.5,1000.56,4747.75
31,0,895.42,36.21,43.7,0.9,223.32,1.26,424.04,19018.1
10,1,989.57,23.58,88.39,0.57,261.49,1.36,1795.34,22061.03
77,2,1116.49,34.22,69.52,0.73,121.31,1.06,825.72,6653.93
32,0,1161.91,37.59,38.2,0.36,74.02,0.66,821.49,7765.88
41,2,641.0,23.23,46.05,0.69,293.17,0.72,1315.6,6760.32
34,2,1135.83,39.85,58.06,0.9,137.1,0.61,1568.07,7619.62
84,0,964.21,36.36,56.49,0.71,296.89,1.35,208.76,14321.33
47,0,975.67,36.56,33.77,0.73,68.45,0.8,1939.15,8974.1
64,2,1030.21,18.87,33.97,0.95,291.11,0.54,1216.26,6815.45
70,0,851.45,28.82,46.23,0.81,197.5,0.67,1489.33,4099.97
76,0,734.46,31.2,89.63,0.71,213.35,0.89,797.26,11610.97
46,2,706.76,26.22,41.24,0.82,80.48,0.72,242.35,7067.87
29,1,679.19,25.66,59.78,0.78,121.8,1.1,1462.17,8493.08
20,0,814.91,30.13,72.07,0.49,154.83,1.14,1180.04,8324.32
67,0,719.79,22.44,49.54,0.9,140.04,0.63,1665.57,7695.53
45,2,925.74,34.87,38.18,0.53,147.56,1.22,1610.16,5893.96
1,1,832.71,27.96,34.6,0.61,198.13,1.29,514.36,9228.17
77,1,923.09,22.95,74.28,0.31,229.81,1.27,383.15,6428.88
68,1,562.88,21.11,50.55,0.83,283.72,0.87,395.28,10666.52
6,2,853.44,21.71,57.05,0.81,224.42,1.46,522.54,7313.1
84,0,793.67,29.48,58.35,0.7,178.78,0.83,412.42,12981.82
82,0,915.51,38.34,42.05,0.37,96.17,0.63,1148.08,7162.13
52,2,1067.49,37.18,48.03,0.6,239.31,1.32,1753.41,10855.12
66,0,907.9,18.74,71.82,0.46,214.08,0.71,855.87,22552.16
12,1,1085.98,20.99,32.51,0.42,54.39,1.35,1615.49,4340.14
8,0,906.88,21.95,83.75,0.54,82.66,0.51,1468.58,3630.83
19,1,775.88,37.2,42.51,0.99,96.0,0.6,1229.06,17672.76
77,2,1108.82,17.06,78.2,0.31,189.44,1.0,506.59,5867.68
29,1,666.72,21.42,51.42,0.43,107.24,1.26,1733.56,8274.64
78,2,616.35,37.83,54.11,0.87,74.48,1.03,1780.52,7399.76
33,2,894.8,34.41,67.75,0.44,137.65,1.12,247.96,11575.62
44,1,827.17,38.74,71.26,0.59,268.24,0.98,775.6,6482.33
23,1,839.97,32.05,74.44,0.9,190.58,1.01,1893.17,17404.89
86,0,739.16,27.2,54.29,0.62,113.77,1.23,218.19,10689.71
21,2,910.85,17.54,47.09,0.67,289.77,1.48,1805.36,5620.44
3,2,990.49,29.85,89.98,0.57,164.01,1.08,1337.8,14326.38
80,2,882.52,30.34,46.9,0.86,105.92,0.53,1070.16,11109.38
56,2,797.62,28.32,72.98,0.46,210.1,1.44,1169.03,6187.84
64,0,866.87,37.17,48.88,0.33,282.33,0.69,1127.3,6772.03
49,0,923.93,35.19,42.81,0.98,272.87,1.03,1688.13,4726.33
47,2,1141.25,38.35,82.17,0.99,181.11,0.83,823.07,10372.05
34,2,999.45,38.69,56.75,0.43,88.31,1.06,1736.37,7464.24
25,2,692.44,15.73,42.89,0.39,109.59,1.35,997.1,25189.71
73,1,542.48,39.59,84.49,0.55,256.39,1.31,1932.73,5173.76
54,1,653.7,33.64,55.6,0.38,271.72,0.96,1303.48,5187.04
87,1,976.26,29.01,47.96,0.73,261.22,0.53,1142.58,11797.41
79,2,818.77,38.47,89.54,0.69,182.75,0.63,1013.79,3931.66
